Feature,AGOP,PCA_PC1_loading,Mutual_Information,Permutation_Importance,AGOP_rank,PCA_rank,MI_rank,PI_rank
Roundness,1.0,0.24859376,0.7963067404019026,0.19100257069408738,1,7,13,1
ShapeFactor4,0.539445586502552,0.19546168,0.3652547050507837,0.1228057289753948,2,14,14,2
ShapeFactor1,0.5347578600049019,0.22151455,0.9347473534274104,0.11318398824825557,3,13,8,3
Solidity,0.3420240022242069,0.14269732,0.24161670807346303,0.06698494307748805,4,15,15,4
MinorAxisLength,0.32974404841661453,0.23604536,0.9388234119348773,0.04763128901946383,5,10,6,9
Perimeter,0.304420068860054,0.3108258,1.0509431687831636,0.04788835842820417,6,3,1,8
EquivDiameter,0.23478354699909687,0.29739696,1.0316569661673598,0.03103195005508631,7,4,3,11
Extent,0.20278125442564487,0.06420532,0.1915601733160024,0.01858244583180314,8,16,16,15
ConvexArea,0.15621886402368546,0.28305018,1.0390020810339393,0.02001468968049942,9,5,2,13
Area,0.15488034300506115,0.28227824,1.0314644468633398,0.01828865222181416,10,6,4,16
MajorAxisLength,0.1344528468325734,0.32585168,0.9792782043095738,0.0233565919941241,11,1,5,12
AspectRatio,0.0944537241011858,0.22939892,0.8024855778215809,0.053286816011751725,12,12,12,7
Compactness,0.08459547348320484,0.23852703,0.815733692689173,0.055306647080425986,13,9,10,6
ShapeFactor3,0.0791797898709774,0.23916394,0.8157459852455375,0.056077855306647065,14,8,9,5
ShapeFactor2,0.06690358743071556,0.3149275,0.9371055421351311,0.019390378259272846,15,2,7,14
Eccentricity,0.05607648007571697,0.23193072,0.8024906687172009,0.043701799485861156,16,11,11,10
