model,fraction,n_train,test_rmse,train_time
xRFM,0.1,1275,13.530216450676184,0.20956560600006924
XGBoost,0.1,1275,13.775905550288472,1.3879275469998902
RF,0.1,1275,13.121277185497082,4.998120952000136
MLP,0.1,1275,14.804215959673922,1.5520470490000662
TabNet,0.1,1275,20.683962239989526,8.584771595000348
SVR,0.1,1275,20.38942814992088,0.13044912199984537
xRFM,0.2,2551,12.191540796478003,0.4249007199996413
XGBoost,0.2,2551,12.242222399439726,1.570650953999575
RF,0.2,2551,11.920355842220708,10.098883450999892
MLP,0.2,2551,14.220091368734458,2.215807820000009
TabNet,0.2,2551,16.784095792804308,7.716320026000176
SVR,0.2,2551,18.630247569599078,0.5211312420005925
xRFM,0.4,5102,11.24729310424742,2.3756475019999925
XGBoost,0.4,5102,10.82502893880099,1.6226311359996544
RF,0.4,5102,10.972816679911567,21.153005795000354
MLP,0.4,5102,13.427098990649004,2.7685437680001996
TabNet,0.4,5102,16.464948935755352,11.199552682000103
SVR,0.4,5102,17.343325503999132,2.088991739999983
xRFM,0.6,7654,10.798570072032035,5.146675902999959
XGBoost,0.6,7654,10.233198957358296,2.306007416000284
RF,0.6,7654,10.259598186576225,31.349598886999956
MLP,0.6,7654,12.664136600454093,4.177675460000501
TabNet,0.6,7654,14.10445834618465,16.094537679000496
SVR,0.6,7654,16.510153452311116,4.714061349000076
xRFM,0.8,10205,9.981895843421041,8.88176789299996
XGBoost,0.8,10205,9.937925317647574,1.9206242149994068
RF,0.8,10205,9.781578033136489,42.60919108300004
MLP,0.8,10205,11.621507345581229,9.783861719000015
TabNet,0.8,10205,14.444575173854197,19.537463241000296
SVR,0.8,10205,16.219998523654766,8.445269654000185
xRFM,1.0,12757,9.870273279737457,14.902512261000084
XGBoost,1.0,12757,9.539707921193378,1.9996132309997847
RF,1.0,12757,9.447608223558948,52.73877631800042
MLP,1.0,12757,11.682720002434083,10.049350375000358
TabNet,1.0,12757,13.751572397664317,25.40036416000021
SVR,1.0,12757,16.040753255210777,13.857786780999959
